role_id,title,domain,description,required_skills,min_cgpa,min_coding_score,key_responsibilities
1,Full Stack Web Developer,Software Engineering,Builds modern responsive web applications and RESTful APIs,python javascript react node sql html css git rest,6.5,150,"Develop frontend components, design database schemas, implement API routes"
2,Data Scientist & Analyst,Data Science,Analyzes datasets to extract actionable insights and statistical models,python sql data_science machine_learning pandas numpy statistics,7.0,140,"Perform exploratory data analysis, build predictive models, create dashboards"
3,Machine Learning Engineer,Artificial Intelligence,Designs deploys and optimizes deep learning and ML models,python machine_learning data_science deep_learning pytorch tensorflow sql,7.5,180,"Train neural networks, build ML pipelines, optimize model latency"
4,Backend Software Engineer,Software Engineering,Architects scalable microservices database schemas and server logic,python java sql microservices rest docker system_design,7.0,160,"Optimize database queries, design backend microservices, implement authentication"
5,DevOps & Cloud Engineer,Infrastructure & Cloud,Manages cloud infrastructure containerization and CI/CD pipelines,python docker kubernetes aws cloud linux bash ci_cd,6.5,130,"Maintain cloud deployment pipelines, configure infrastructure as code, monitor system uptime"
6,Cybersecurity Analyst,Security,Secures networks inspects vulnerabilities and conducts penetration testing,python networking linux security cryptography bash penetration_testing,7.0,140,"Perform security audits, inspect system logs, enforce data privacy compliance"
7,Mobile App Developer,Mobile Engineering,Builds mobile software applications for iOS and Android platforms,java kotlin flutter react_native mobile_dev api_integration,6.5,140,"Create cross-platform mobile UIs, integrate mobile push notifications, optimize app storage"
8,Data Engineer,Big Data & Analytics,Engineers data pipelines ETL flows and enterprise data warehouses,python sql data_engineering spark kafka airflow data_warehousing,7.0,150,"Build ETL data streams, manage database clusters, implement data validation checks"
9,UI/UX Engineer,Product Design,Designs intuitive user interfaces wireframes and design systems,figma ui_ux javascript css html frontend accessibility,6.0,100,"Create design prototypes, conduct user research, implement accessible UI themes"
10,Embedded Systems Engineer,Hardware & IoT,Develops low-level firmware and embedded IoT software systems,c c++ embedded_systems microcontroller iot rtos,7.0,150,"Program microcontrollers, debug hardware interfaces, build real-time IoT firmware"
